"11대코드","코드명","생산(2020-01)","생산(2020-02)","생산(2020-03)","생산(2020-04)","생산(2020-05)","생산(2020-06)","생산(2020-07)","생산(2020-08)","생산(2020-09)","생산(2020-10)","생산(2020-11)","생산(2020-12)","생산(2020-01)_전년동월대비증가율","생산(2020-02)_전년동월대비증가율","생산(2020-03)_전년동월대비증가율","생산(2020-04)_전년동월대비증가율","생산(2020-05)_전년동월대비증가율","생산(2020-06)_전년동월대비증가율","생산(2020-07)_전년동월대비증가율","생산(2020-08)_전년동월대비증가율","생산(2020-09)_전년동월대비증가율","생산(2020-10)_전년동월대비증가율","생산(2020-11)_전년동월대비증가율","생산(2020-12)_전년동월대비증가율"
"00000","소재·부품","107.5","105.5","122.7","105.5","103","111.9","113.8","106.7","120.1","116.4","118.4","124.1","0.7","14","12.8","-2.5","-8.1","0.9","-0.4","0.8","11.8","1.4","3.3","5.2"
"11000","섬유제품","68.8","71.9","78.2","61.6","56.5","61.3","65.5","60.4","68.4","68.4","68.8","69","-15.4","7.4","-4","-25.7","-31","-20.2","-17.6","-17","-1.9","-13.8","-8.1","-6.6"
"11010","제사 및 방적","57.6","55.6","63.5","51.9","45","51.3","53.8","49.8","57","52.4","53.7","52","-15.3","-0.6","-6.4","-23.4","-33.6","-18.7","-15.9","-14.9","2.2","-20.3","-11.8","-16.6"
"11020","직물직조","59","63.3","64.5","50","44.3","43.9","48.9","47.3","53.8","52.1","57","57.8","-23","4.4","-15","-35.9","-42","-38.8","-34.3","-30","-15.8","-28","-16.9","-12.2"
"11030","섬유염색 및 가공","72","77.2","81.2","55","50.2","59.2","61.7","54.3","64.6","70.1","72.3","71.9","-12.9","13.3","-5.8","-37.6","-43","-24.6","-24.2","-20.2","-12.9","-20.3","-11.5","-12"
"11090","기타 섬유제품","86.8","91.5","104.4","86.9","84.1","92.2","96.2","87.5","96.7","100.7","93.3","95.1","-8.4","12.7","10.4","-9.7","-10.7","0.8","0.8","-4.2","14.9","8.1","4.5","7.9"
"12000","화학물질 및 화학제품","107.8","105.3","118","114.6","109.8","111.1","116.7","112.6","118.9","117.7","110.8","117.6","-2.8","10.2","9.9","10.8","7","13.4","8.9","10.3","17.7","12.8","6","9.7"
"12010","석유화학계 기초화학물질","112","108.5","124.6","146.8","133.5","126.3","143.8","141.6","136.5","121.8","90.5","109.4","5.7","16.8","24.3","54.4","45.6","57.7","38.3","37.3","33.8","28.5","-8.8","2.5"
"12020","기타 기초유기화학물질","112.7","114","134.9","122.9","133.3","130.6","132.8","131.5","128.3","125.6","108.6","126.1","-7","5.1","11.9","10.1","41.5","23.5","11.1","13.3","13.5","12.6","3.2","16.9"
"12030","기타 기초무기화학물질","93.5","90","91","81.2","74.6","74.9","88.8","94.2","93.7","93","81","97.5","1.6","8.9","0.9","-6","-11.1","-13.6","-5.8","3.6","11.6","10.6","1.8","3.9"
"12040","무기안료, 염료, 유연제 및 기타 착색제","93.3","105.1","108.9","84.5","68.5","77.5","77.9","85.8","94","102.2","99.5","99.3","-17","18.4","2.7","-23.2","-38","-5.6","-6.6","-14.1","5.7","-0.4","7.9","11.4"
"12050","합성고무 및 플라스틱 물질","119.1","111","116.9","116.4","117.5","121.1","127.4","127.4","125.2","124","112.9","118.8","5.4","11.5","8.6","17.7","11.3","22","13.4","15.1","15.6","17.6","3.1","2.9"
"12060","농약","136.1","123.3","128.2","109.6","79.4","65.7","32.5","26.9","93.3","96.4","110.8","153.9","-10.3","0.3","-0.4","-12.1","-13.5","27.2","18.2","28.2","46.6","4.1","-4.3","4.1"
"12070","도료 및 인쇄잉크","77.3","75","90.8","87.8","74.1","82.4","79.4","62.1","84","90.9","95.4","90.8","-10.2","15","2.9","-10.4","-23.2","-3.8","-8.8","-13.3","10.3","-4.8","1.4","13.3"
"12080","계면활성제","103.9","108.8","118","117.6","108.4","112.6","120.7","106.9","119.2","116.9","116.4","124.4","-2.5","13","17.9","26.3","3.5","15.5","8.6","9.1","24.8","6.5","6.8","11.1"
"12090","기타 화학제품","99.1","99.5","112.5","100.6","84","88.7","101.7","92.5","112.4","111.3","116.9","117.8","-12.4","8.5","0.5","-14","-28.5","-17","-8.8","-7.2","15.2","3.3","10.7","11.8"
"12100","화학섬유","99","95.4","101.4","81.7","60.6","53.5","72.2","85.1","93.4","102.3","99.8","104.7","1.5","8.4","8.1","-2.5","-33.1","-38.7","-25","-9.7","2.6","8.8","10.9","7.1"
"12110","기초의약물질 및 생물학적 제제","132.1","135.7","148.7","142.1","145.8","153.6","160.7","129.7","150.7","134.5","137.4","143.1","5.9","22.9","14.5","2.7","8","18.6","23.6","13.6","15.2","-4.6","-2.7","-0.2"
"13000","고무 및 플라스틱제품","84.5","84.4","94.8","76.6","72.7","83.8","92.5","81.8","94.5","94.8","97.3","91.7","-13.2","4.9","-4","-23","-26.6","-13.5","-6.6","-1.9","9.5","-2.3","3.8","0.6"
"13010","고무제품","92.5","97","93","69.7","68.1","90.8","100.7","92.9","99.3","97.6","107.4","98.4","-18.6","6.8","-16.2","-37.5","-40.2","-18.1","-10.2","5","7.2","-5","1.7","0.4"
"13020","플라스틱제품","82.4","80.6","96.2","79.7","74.8","81.9","90.4","78.5","93.6","94.5","94.5","90.3","-11.2","3.7","0.6","-17.4","-21.3","-12.1","-5.5","-5","9.9","-1.6","4.3","0.6"
"14000","비금속 광물제품","111.5","108.3","126.4","118","105.2","120.2","106.7","104.2","117.3","110.9","106.6","106.4","-11.1","7.7","7.1","-3.9","-18.4","-4.4","-21.5","-19.8","-5.8","-12.4","-11.5","-14.1"
"14010","판유리","115.2","101.3","103.2","103.3","84.3","92.9","110.2","108.4","113.6","120","114.9","89.9","-8","29.8","-14.4","-3.4","-28.5","-9.6","-5.7","-6.1","-2.1","-0.9","-3.7","-20.8"
"14020","산업용 유리제품","125.9","122.4","142.5","131.1","116.5","135.2","117.7","116","129.1","119.8","112.3","115.2","-10.4","6.6","11.2","-2.2","-17.8","-3.2","-23.5","-20.8","-8.4","-13.6","-13.5","-15.7"
"14030","산업용 도자기","62.7","63.1","74.1","71.9","69.7","76","73.1","64.8","70.5","65.4","74.2","69.9","-20.1","5.6","-12.4","-20.3","-20.7","-7.5","-15.4","-21.6","-8.3","-27.4","-14.9","-15.6"
"14040","구조용 정형내화제품","82","76.2","83.6","72.5","72.1","74.5","62.7","64.7","76.1","72.5","78.6","84.6","-16.3","1.5","-14.2","-25.7","-20.3","-11.9","-26.5","-26.1","-11.4","-20.4","-14.6","2"
"14050","석회","94.1","87.4","88.7","79","80.2","77.7","86.5","91.1","91.4","92.7","92","98.6","-7","2.1","-9.2","-13.2","-16.9","-16.6","-9.8","-5.5","-2.1","-0.9","-2.6","3.2"
"14090","기타 비금속광물제품","78.3","79.8","101.2","101.8","92.6","100.5","88.7","81.5","100.5","100.5","104","101.3","-16.3","6.2","-0.5","-6.7","-17.5","-7.3","-15.9","-18.7","9.4","-7","-4.3","-3.3"
"15000","1차 금속제품","86","85.3","89.4","83.1","79.2","79.3","81","76.5","81.5","83.7","82.5","86.6","-8.3","8.3","-0.5","-4.8","-13.7","-7","-9","-6.3","2.4","-4.8","-4.2","0.5"
"15010","합금철","75.7","67.5","87.2","93","81.9","69.7","68","69.2","78.3","84.2","75.1","72.9","-4","4.1","0.9","6.4","-9.1","-8","-15.7","-10.7","-8.3","1.1","-5.8","-9.7"
"15020","철강압연.압출 및 연신제품","81.5","81","83.7","73.8","73.6","73.1","76.2","75.1","77.8","80.8","79.1","82.1","-7.5","9.7","-1.3","-10.9","-17","-10.5","-10","-4.2","4.1","-1.1","-3.7","-0.5"
"15030","철강관","91.4","96.9","104.4","100.9","88.2","88.8","87.6","74.8","87.8","95.9","96.8","96.3","-15.5","13.6","1.5","-3.8","-15.1","-8.2","-11.6","-16.1","-4.1","-6.9","1.7","1.3"
"15040","비철금속 제련, 정련 및 합금","94.9","91.9","98.7","99.3","94.9","94.4","89.6","84.9","86.3","86.7","82.7","91.9","-5.4","5.8","4.7","17.6","2.9","8.1","-4.9","0","4.2","-9","-6.1","4.1"
"15050","비철금속압연, 압출 및 연신제품","84.4","83.4","88.1","84.9","77.5","77.6","80.3","68.9","78.4","77.4","80.5","85","-8.1","8.8","0.5","0.2","-9.1","-4.7","-3.2","-13.1","0","-11","-7.2","-1.3"
"15060","기타 1차 비철금속","70.7","68.1","71.1","65.3","60.2","59.9","58.4","53","57.7","60.3","62.5","67.4","-19.3","-5.9","-15.9","-19.6","-25.9","-19.9","-22.7","-19.9","-13.1","-20.4","-15.5","-8.4"
"15070","비철금속 주조업","84","82.6","88.1","74.8","63.2","64.3","73.2","62.4","80.5","83.9","88.7","88.3","-17.1","-0.9","-14","-26.5","-38","-30.9","-25.7","-22.5","-5.3","-12.4","-1.3","3.6"
"15090","도금, 착색 및 기타 표면처리강재","97.9","98.1","102.2","96.6","89.1","92.1","93.9","98.3","99.2","96","94.9","94.9","-4.7","6.1","5","-2.8","-13.3","-8.6","-10.5","0.4","4.1","-1.2","-5.2","-2.3"
"21000","금속가공제품","88.2","90.9","101.2","87.9","77","80.1","86.7","74.5","91.3","88.7","93","93.7","-11.7","12.5","1.7","-13.2","-23.7","-18","-13.4","-17.7","-0.3","-10.9","-4.8","-2"
"21010","금속탱크, 저장조 및 유사용기","87.5","102.2","117","108.7","106.7","103.4","90","84.9","94.3","86.3","88.5","88.7","8.8","32.8","11.8","10.2","-4.2","-30.5","-14.6","-19.5","-13","-14.7","-24.2","-31.7"
"21020","핵반응기 및 증기발생기부품","79.7","79.9","93.2","94.9","85.1","86.4","79.1","68.3","78.1","78.2","83.8","80.5","-7.8","11.3","4.6","4.1","-8.6","-8","-16.4","-19.2","-12.5","-22.8","-17.4","-19.5"
"21030","무기 및 총포탄 부품","91.1","92.7","102.8","93.9","84.2","87.7","91","77.4","92.7","90.8","95.6","94.7","-10.5","12.1","0.8","-9.3","-18.1","-10.7","-12.1","-17.1","-2.4","-14.4","-7.8","-5.7"
"21040","금속 단조, 압형 및 분말야금 제품","88.7","89.8","100.8","87.4","75.4","79.3","87.3","74.7","91.5","89.7","94.2","95","-12.5","11.8","2.9","-12.6","-22.2","-12.6","-10","-16.1","3.9","-7.6","0.9","5.4"
"21050","금속열처리업, 도금 및 기타 처리업","97","99.2","107.8","93.9","83.8","88.5","97.2","82.2","100.1","97.3","101.8","102.2","-11.8","12.2","-0.9","-14.7","-22.3","-11.9","-10.1","-16.3","2.2","-10.5","-3.2","1.4"
"21060","톱 및 호환성공구","93.1","97.7","97.6","82.7","72.5","69.3","77.8","61.9","79.8","76.5","79.7","82.6","-9.9","11","-3.5","-20.9","-32.8","-32","-25.5","-35.8","-17.1","-20.5","-12.8","-4.7"
"21070","금속파스너 및 스프링","79.7","80.1","94.4","75.5","59.4","66.1","80.7","70.4","91.1","89.5","94.4","96.6","-18.8","5.3","0.9","-23","-38.8","-25.2","-16.9","-12.1","7.1","-7.3","1.5","6.6"
"21090","기타 금속제 부품","104.2","107.9","116.6","105","91.5","93.6","95.6","80.6","100.4","98.7","104.3","103.9","-13","17.3","-0.3","-11.7","-21.1","-14.5","-16.4","-19.2","-1.7","-15","-7","-3.6"
"22000","일반기계부품","91.4","95.9","113.6","103.6","93.7","104","101.5","85.5","98.4","90.9","103.6","124.1","-2.6","14.5","9.4","0.1","-10.3","3.2","0.4","-5.1","5.3","-9.3","3.6","2.3"
"22010","내연기관 및 터빈","92.5","84.5","106.7","92.6","93.2","99.4","98.2","83.1","91.4","78.7","102.7","109.9","15.1","13.2","14.4","0.7","-12.3","3","5.1","5.5","3.1","-19","9.7","-3.4"
"22020","유압기기","108.5","119.6","136.3","115.7","97.2","102.8","105.2","89.8","103.4","102.3","109.1","128.5","-17.3","1.5","-3.3","-21.5","-30.8","-19.6","-17.1","-17.8","-9.6","-12.2","-2.9","0.9"
"22030","펌프 및 압축기 제조업","93.6","102.4","120.7","115.5","97.8","112.8","102.6","89.3","99.6","93.6","102.4","116.4","-6.4","15.3","6.8","3.1","-7.3","7.7","-2.1","-8","9","-9.2","-3.8","-2.2"
"22040","베어링, 기업 및 동력전달장치","102.8","105.8","115.9","97.9","80.1","86.6","101.9","87.2","106.6","106","114","130.5","-13.6","6","-2.7","-15.7","-30.1","-21.8","-9.5","-15.6","1.2","-4","1.7","11.5"
"22050","산업용오븐 및 노용부품","34.9","36.6","33.9","48.8","37.8","71.3","59.2","43.2","48.1","41.5","64.3","50","-71.2","-71.3","-66.9","-55.5","-51","23.8","125","24.1","95","19.2","126.5","13.4"
"22060","운반하역기계부품","79","79.6","93.9","89.3","78.7","81.2","87.9","90.9","97.2","95.5","102.1","113.2","-20","1.9","-3.9","-10.1","-21.3","-16","-11.2","3.6","9.5","2","5.7","15.2"
"22070","냉동공조기계부품","91.3","98.1","113.1","100.5","98.8","112.3","109.3","92.2","97.2","92.5","96","102.9","1.2","20.3","8.6","-4.6","-4.4","14.3","5.4","1.1","9.9","-9.7","-8.2","-9.2"
"22080","사무용 기계 및 장비","104.6","107.5","127.3","113.3","109.1","123.6","121.7","105.2","112.3","110","117.8","130.4","-2.2","11","3.3","-8.3","-12.6","5","4.3","1.4","7.2","-4.5","1.5","0"
"22090","기타 일반목적용 기계부품","70.7","71.3","89.3","74.8","76.2","84.5","81.8","68.8","73.5","71.5","81.1","89.5","-7.9","3.1","6.1","-10","-7.8","5.9","5.7","-3.2","2.3","-12.7","2.9","1.3"
"22100","농업 및 임업용 기계","91.7","97","118.1","121.6","107.6","114.1","111.7","92.5","107.5","96.6","111.9","150.4","-1.2","17.6","16","19.3","4.4","9","15.6","4.5","10.5","1.7","14.6","9.5"
"22110","가공공작기계부품","94.3","99.7","121.4","125.1","110.7","117.2","114.7","95.1","110.6","99.3","115.1","154.6","0.6","18.9","17.2","20.6","6.4","11","17.7","6.4","12.5","2.9","15.9","10.8"
"22120","금속 주조 및 기타 야금용 기계","98","102.8","125.3","129.8","115","121.8","119.3","98.5","114.5","102.8","119.3","160.2","0.7","19.6","17.9","22.1","6.4","11","17.7","6.2","12.3","2.6","15.6","10.4"
"22130","건설광산기계부품","93.2","98.5","120","123.5","109.4","115.9","113.4","94","109.3","98.1","113.7","152.8","0.3","19.4","17.7","21.1","6","10.6","17.3","6","12.1","2.5","15.5","10.5"
"22140","음식료품 및 담배 가공기계부품","98.1","102.8","125.3","129.8","115","121.6","119.2","98.6","114.6","102.8","119.4","160.2","0.5","19.7","17.9","22.2","6.4","10.9","17.7","6.2","12.1","2.7","15.6","10.5"
"22150","기타 섬유기계부품","98","103.1","124.9","130","114.9","122","119.3","98.5","114.8","102.6","119.1","159.9","0.7","19.5","17.9","22.1","6.4","11","17.8","6.2","12.3","2.6","15.5","10.4"
"22160","반도체 및 평판디스플레이 제조용 기계","94.3","99.7","121.4","125","110.7","117.2","114.7","95.1","110.6","99.3","115","154.6","0.6","19.8","18.2","21.5","6.4","11","17.7","6.4","12.5","2.9","15.9","10.7"
"22170","산업용 로봇","114.3","147.2","207.7","173.7","126.3","162.4","174.7","114.6","164.3","120.5","164.1","154.9","11.7","41.6","76.8","75.1","-19.2","10.2","35.8","-20.6","-3.8","-22.6","55.6","-24.8"
"22190","기타 특수목적용 기계부품","87.1","94.8","110.7","96.7","84.6","97.6","91.9","74.4","98","89","106.2","147","-2.9","17.6","11.9","-1","-14.4","-0.2","-11.1","-18.2","-0.3","-12.5","8.2","9.5"
"24000","전기장비부품","88.5","89.7","106.4","96.6","86.8","100.6","99.9","86.4","104.7","99.4","106.8","112.3","-8.7","10.1","8","-5.1","-16.2","1.9","-2.7","-7.8","8.7","-5.8","2.2","0.3"
"24010","전동기 및 발전기","87.3","81.9","102.7","84.7","77.5","98","101.6","83.9","107.6","105.4","112.3","111.7","-13","6","11.3","-14.6","-23.9","0.7","-7.9","5.4","26.3","3.4","18.6","13.2"
"24020","변압기 및 정지형 변환기","77.3","77.2","92.8","94.2","85.4","99.7","87.3","80.3","98.7","87.8","108.6","124.9","-4.2","9","-1.4","2.5","-15.7","1.5","-9.5","-19.9","-8.6","-6.3","2.8","15.8"
"24030","전기공급 및 전기제어장치","76.7","79.7","97.9","87.2","76.7","90.9","87","75.4","93.1","83.2","93.9","108.3","-7.1","10.8","10.8","-4.8","-19.1","4.1","-1.1","-12.8","5.5","-11.7","2.1","3.3"
"24040","일차전지 및 축전지","111.7","108.8","114.9","110.7","105.7","117","116.3","110.3","123.1","125.5","127.8","131.2","-10.4","6.7","-2.2","-4.8","-7.7","6","2.6","-0.4","14.3","7.7","5.2","1.5"
"24050","절연선 및 케이블","86.7","96.9","106.1","99.8","91.6","92.3","91.1","72.8","81.6","85.6","88.7","84.9","-1.1","26.5","23.7","7","-2.6","-3.8","-10.9","-16.4","-9.3","-14.4","-13.2","-11.2"
"24060","전구 및 조명장치","97.9","91.5","124.7","104.7","85.5","108.3","117.7","88.4","127","124.1","115.3","110.1","-19.1","-3.5","4.1","-15.9","-33.4","-8.3","-4.6","-5.5","25.1","1.3","-6.4","-14.3"
"24070","가정용 기기","98.3","85.7","103.3","88.5","94.2","102.7","118.3","107.6","138.4","137.1","128.6","120.7","-9.4","-7.5","-0.9","-9.3","0.6","8.6","19.4","23.3","26.5","12.8","17.7","30.1"
"24090","기타 전기장비","202.4","253.5","284.3","252.2","177.9","293.5","329.8","369","335.8","213.5","360.5","356","-11.4","22.9","3.7","-18.8","-18.6","45.4","32.2","24.3","88.1","-43.3","79.4","-23.5"
"25000","전자부품","180.4","175.9","202.7","163.8","183.7","199.3","190.9","198.1","211","200.9","205.6","221.9","29.7","33.2","34.7","11.1","13.4","13.4","10.4","14.1","18.9","10.7","8.5","14.8"
"25010","전자집적회로","289.6","277","305","229","273.4","303","294.9","319","346.8","350.8","369.6","422.3","94.6","81.7","73.3","21","32.1","24.9","15.8","29.1","33.3","23.7","19.3","35.7"
"25020","다이오드, 트랜지스터 및 유사 반도체소자","170.8","165","189.4","174","178.4","191.2","199.5","202.1","213.9","200.6","208.6","225.4","9.5","19.6","12.6","10.4","10.2","10.9","13.8","15.3","17.1","10.8","13.9","17.9"
"25030","평판디스플레이","75","67.9","87.5","71.7","70.4","74.6","76.7","73.2","73.2","68.6","66.8","60.4","-21.1","-19.1","-9.1","-13.5","-27.3","-22.6","-11.5","-18.3","-14.8","-12.2","-9.1","-23.2"
"25040","인쇄회로기판 및 전자부품 실장기판","119.4","113.5","121.4","113.8","106.7","122.4","132.8","123.8","129.5","130.5","138.4","140.6","-1.7","9.6","0.5","-7.9","-16.6","-0.7","2.7","-4.6","-0.1","-0.7","10.2","21.6"
"25050","그외 전자부품","116.6","116.5","126.9","121.5","115.2","114.7","122","110.9","113.7","124.7","128.5","123.6","-9.7","6.1","1.6","-7.2","-11.4","-7.2","-8.9","-9.4","-4.7","-2.1","7.3","-3.7"
"25060","컴퓨터 주변기기","130.6","141.7","152.7","147.9","107.5","164.4","77.9","114.7","104","79.2","97.5","139.3","22.1","24.9","2.3","15.1","-5.9","4.8","-29.2","-4.8","-13.8","-24","-20.2","-9.9"
"25070","유선 통신장비","47.4","51","52.7","42.5","43.3","47.1","43.5","54","60.9","58.5","59.6","67.3","-6","-15.1","-38.9","-48.5","-41.3","-36.5","-36.1","-33.7","-7.3","-33.2","-0.4","34.7"
"25080","방송장비 및 통신장비","51.3","59.9","71.5","54.8","50.7","56.8","54","65.2","78.1","84","84.9","94.4","3.8","7.4","-0.9","-22.4","-24.8","-12.5","-10.7","-35.3","-10.8","-15.9","6.6","54.5"
"25090","방송수신기 및 기타 영상기기","97.4","89.7","119.2","93.9","72","85.9","97.6","81.7","124.1","118","110.2","117","15.7","30.7","38.8","5.1","-18","3.5","13","16.1","61","25.7","26.5","39"
"25100","음향기기","42.8","39.8","50","39.2","30.9","37.2","38.8","38.5","33.7","34.3","26.9","26.2","-14.9","-6.2","-1.9","-14.5","-29.5","-4.4","-9","-5","-19","-22.1","-32.5","-25.5"
"26000","정밀기기부품","96.1","109.1","118.2","107.6","101.7","118.5","117.6","109.1","123.7","123.3","110.1","124.5","-11.2","18.3","0.2","-15.6","-18.9","5.4","-4.6","4.7","21.2","9.6","4.7","17.8"
"26010","방사선장치 및 전기식 진단기기부품","102.2","121.6","133.3","115","116.3","116.6","107.6","108.9","125","124.3","147","138.1","4.5","20.6","9","-0.1","-2.6","-4.6","-6.4","-7.6","3.6","3.4","5.2","-2.5"
"26020","기타 의료용기기 및 부품","122.6","123.6","133.5","106.3","103.2","112.4","113.7","105.4","131.8","118.7","144","141.7","-2.3","16.4","3.9","-20.9","-16.5","-5.5","-10","-9.2","10","-8","5","-1.5"
"26030","측정, 시험, 항해, 기타 정밀기기 및 부품","97.9","109.5","131.6","125.5","115.2","135.7","129.6","116.9","131.8","139.6","125","144.4","-14.2","26.1","22","10.1","-3.9","33.4","6.1","14","28.8","14.6","10.3","26.8"
"26040","광학기기 및 사진장비","100.2","120.7","111.7","97.2","96.2","112.3","119.2","115.1","129.1","117.8","95.3","108.6","-8.6","12.5","-22.4","-39.6","-35.3","-19.5","-14.8","-1.6","17.1","7.6","-3.3","11"
"26050","시계부품","119.6","132.1","148","134.9","127.2","145.4","143.8","133.4","151.8","150","146.5","162","-9.1","21.5","10.2","-5","-9.6","14.1","1.5","7.1","22.1","9.5","8.2","16.6"
"27000","수송기계부품","83.7","76","102","80.5","64.1","76.7","91.6","72.3","98.9","97.6","100.7","96","-15.6","-5.4","2.2","-21.6","-37.3","-19.5","-11.3","-13.2","12.2","-3.3","4.3","-1.5"
"27010","자동차용 엔진","64.6","55.5","80.3","61.6","47.4","61.3","72.5","53.5","75","78.3","76.2","76.5","-29.4","-22.4","-12.5","-35.1","-51.1","-31.1","-16.8","-15.8","10.5","-4.6","-5.3","-1"
"27020","트레일러 부품","73.9","69.4","87.3","70.8","75.2","84.1","90.8","65.5","91.6","79","64.1","58.5","-12.2","0.8","-2.8","-29.7","-21.8","-5.1","0.4","-14.7","25.6","-3.8","-26.2","-31.8"
"27030","자동차 엔진용 부품","85","76.3","104.6","82","64.4","78.7","94.5","74.5","102.5","101.2","104.3","98.7","-15.8","-6.3","3","-21.5","-37.8","-18.6","-10.2","-11.7","14.9","-1.3","6.2","0"
"27040","자동차 차체용 부품","85","76.4","104.6","82","64.4","78.7","94.5","74.5","102.5","101.2","104.3","98.7","-15.8","-6.3","3","-21.5","-37.8","-18.6","-10.2","-11.7","14.9","-1.3","6.2","0"
"27050","자동차부품","85","76.4","104.6","82","64.4","78.7","94.5","74.5","102.5","101.2","104.3","98.7","-15.8","-6.3","3","-21.5","-37.8","-18.6","-10.2","-11.7","14.9","-1.3","6.2","0"
"27060","선박 구성부분품","57.8","60.3","60.9","58.5","60.3","63.6","66.6","52.6","64.7","63.2","65.5","61","-8","34.2","7.3","-5","-0.8","6.3","6.8","1.2","13","1.8","4.2","-9.6"
"27070","철도차량부품 및 관련장치","47.6","60.8","58.8","74.2","69.4","66.2","77.4","55.8","72.9","65.6","101","126.9","-29.2","-10.4","-16.6","-8","-8.6","-16.1","-10.3","-31.9","7.5","-10.3","42.1","12.7"
"27080","항공기용 엔진 및 부품","91.7","91.3","91.2","72.5","57.4","35.6","50.6","42.9","51.5","46.8","47.9","55.6","-9.8","-1.5","-14.9","-32.5","-48.4","-65.3","-54.7","-59.3","-54","-60.7","-53.4","-47.1"
"27090","모터사이클","63.4","66.4","66.7","62.7","62.4","62.8","67.8","53.5","65.9","63.4","66.6","64.4","-9.5","25.2","1.8","-11","-10.9","-8.3","-6.5","-13.8","-1","-11.7","-5.1","-14.7"
"27100","자전거 및 환자용 차량","63.7","66.9","66.7","63","62.5","62.7","67.6","53.3","65.3","63.7","66.7","64.4","-9.3","25.4","1.5","-10.9","-10.9","-8.1","-6.6","-13.8","-1","-11.7","-5","-14.6"
"27110","운송장비용 의자","91","102.9","105.2","93.7","93.2","98.6","89.5","88","100.2","102.5","101.1","115.3","-2.9","24.1","9.2","4","-2.3","9.7","-4.9","-4.2","16","0","-2.9","5.8"
